station_uid,max_electric_power,max_voltage,power_type_id,plug_type_id,plug_format_id,type,format
84611e74-fea1-4f95-a722-d983736b15f5,300000,600,3,21,2,COMBO,CABLE
692189dd-931a-4fbc-9f52-121c854fbbc6,300000,600,3,21,2,COMBO,CABLE
ed49ce02-94f3-4d04-b559-40676e53dac5,62500,500,3,21,2,COMBO,CABLE
7fa1d2c4-70e9-4c1f-a5bf-39c0afbb4b83,62500,500,3,21,2,COMBO,CABLE
7f1f0533-42e1-4d7c-8256-9971e74fc8c6,62500,500,3,1,2,CHADEMO,CABLE
eff8bb4b-2784-405c-8874-d7d3432236a5,62500,500,3,21,2,COMBO,CABLE
c190a1b5-c944-4c80-8997-446e70a6996f,300000,600,3,21,2,COMBO,CABLE
90fbdece-014c-4211-b0fb-84babdf7a04d,300000,600,3,21,2,COMBO,CABLE
56c9b9df-e3e0-4dc9-8a93-8418bb643a07,62500,500,3,1,2,CHADEMO,CABLE
4ceefbe9-f5da-46e7-a304-8e59a25e25df,300000,600,3,21,2,COMBO,CABLE
c3d800bd-2a30-4181-8d95-3e7f5cc2f3dd,300000,600,3,21,2,COMBO,CABLE
71323444-d408-45ea-a1b6-34bef20cf832,62500,500,3,21,2,COMBO,CABLE
dd4c9549-e1b9-46f8-9c23-58ad60ecccd2,300000,600,3,21,2,COMBO,CABLE
73587f5b-c899-4dce-9958-cbc2e94222d6,300000,600,3,21,2,COMBO,CABLE
c6a13a4f-5848-44c9-9d14-07ecfabeb13f,300000,600,3,21,2,COMBO,CABLE
58fe3799-5248-4eb1-a3f3-a461abb58843,62500,500,3,21,2,COMBO,CABLE
a2246e36-f72c-4298-9344-037224fe5d41,300000,600,3,21,2,COMBO,CABLE
43c26bbb-aa4d-40e5-a0c8-5dbed7c88292,300000,600,3,21,2,COMBO,CABLE
d4a47956-3ebb-4346-9586-cd48e47d9b4c,62500,500,3,1,2,CHADEMO,CABLE
4a8ec9f0-9124-48f6-8200-b65da07ed04b,300000,600,3,21,2,COMBO,CABLE
12ed9701-cc42-4f9b-a5b2-ed9d1a6e97fd,300000,600,3,21,2,COMBO,CABLE
8587d8e7-430f-4690-810c-ad81e24f10f6,300000,600,3,21,2,COMBO,CABLE
58ac8578-d1bc-4d68-9f09-389e15485f35,62500,500,3,1,2,CHADEMO,CABLE
ef73db3a-c750-4fc2-9ffb-efdced96cf8c,300000,600,3,21,2,COMBO,CABLE
64fe1ff5-7b1b-4461-956c-0526e184665d,300000,600,3,21,2,COMBO,CABLE
75fba818-f7fb-49e4-93b8-bb4444f440d3,62500,500,3,21,2,COMBO,CABLE
0d300062-e035-4676-affe-e59e04aa1e63,62500,500,3,21,2,COMBO,CABLE
881ab7a1-0dcb-4ee2-9984-c4a5b0f29510,62500,500,3,1,2,CHADEMO,CABLE
c38839bc-cea7-4d4e-b2d4-9e60040c3903,62500,500,3,21,2,COMBO,CABLE
9fdea6ac-e71a-4778-ab15-c441695122c5,300000,600,3,21,2,COMBO,CABLE
e4797c01-b4f5-4114-b582-c25c09ead403,62500,500,3,1,2,CHADEMO,CABLE
d9d068e9-1564-4f3a-a1fd-b9b523804606,300000,600,3,21,2,COMBO,CABLE
0b703467-93a6-4c7f-afd3-28d0c14f6caa,62500,500,3,1,2,CHADEMO,CABLE
94e89f11-d33f-4ae3-9671-62d51264abfa,62500,500,3,1,2,CHADEMO,CABLE
504c1562-488f-4c68-8cc7-02d4ba07b6bc,300000,600,3,21,2,COMBO,CABLE
3bc8476b-1d3e-46d9-86bb-5a697b0e02c6,62500,500,3,21,2,COMBO,CABLE
b53f2cd2-4b85-4805-9a61-e261824dfb71,300000,600,3,21,2,COMBO,CABLE
e7e3f177-efab-41cf-b98d-8cc67f8b7a27,300000,600,3,21,2,COMBO,CABLE
69300299-5938-4d83-9e15-f11803476789,300000,600,3,21,2,COMBO,CABLE
cbc800d7-5b57-488a-8eca-50703a0d4050,300000,600,3,21,2,COMBO,CABLE
d4a47956-3ebb-4346-9586-cd48e47d9b4c,62500,500,3,21,2,COMBO,CABLE
13a30cf1-0db5-4140-864b-92dabc6578d8,300000,600,3,21,2,COMBO,CABLE
0780208e-8dbc-492a-aa25-63695cb5fef1,300000,600,3,21,2,COMBO,CABLE
8ee70fdd-342f-4175-b386-810e57210d01,300000,600,3,21,2,COMBO,CABLE
57c529df-38c9-4c4f-a613-c22b7631e706,62500,500,3,1,2,CHADEMO,CABLE
700a3373-ed58-454e-8e50-498c446fff45,62500,500,3,21,2,COMBO,CABLE
5d4c468f-8961-4dd0-b98b-9347647d078c,300000,600,3,21,2,COMBO,CABLE
b80a817e-aa17-490d-a0e9-16837259bc93,62500,500,3,1,2,CHADEMO,CABLE
897e1eb7-5a3f-47cd-82d0-fdeb7679effd,62500,500,3,1,2,CHADEMO,CABLE
0bf280fc-692b-45af-847e-76ac71d8a426,300000,600,3,21,2,COMBO,CABLE
a84d9798-fb12-4d1f-99bb-192eade30a29,300000,600,3,21,2,COMBO,CABLE
63cf4d55-7846-4bde-bd60-18e6099037d6,62500,500,3,1,2,CHADEMO,CABLE
631a9487-8b18-417c-9340-a17ebdec6362,300000,600,3,21,2,COMBO,CABLE
73b289d6-4387-44b6-9b60-af7dacc5321f,300000,600,3,21,2,COMBO,CABLE
0b703467-93a6-4c7f-afd3-28d0c14f6caa,62500,500,3,21,2,COMBO,CABLE
3f99faba-49d9-4055-8cef-1daa7d821aa1,300000,600,3,21,2,COMBO,CABLE
e0728947-4a62-41ed-9e8f-c8a4e74d0297,300000,600,3,21,2,COMBO,CABLE
8ff7ed36-7b21-46d5-99c3-7aa183b00cd2,300000,600,3,21,2,COMBO,CABLE
eb4e611a-1b1c-42ab-802b-09c01adc9d16,300000,600,3,21,2,COMBO,CABLE
1de55877-720d-4b98-bb8a-b8bf18b37449,62500,500,3,1,2,CHADEMO,CABLE
bae83c7d-9ff1-48fa-a528-ddefe47c0649,62500,500,3,21,2,COMBO,CABLE
d3325e4c-98a3-485d-9bc8-a30391d46ae0,300000,600,3,21,2,COMBO,CABLE
3eb589ca-0a11-437a-8b86-26f92f356cb6,300000,600,3,21,2,COMBO,CABLE
8d4d1bab-cb11-4d86-bcea-4c7d746f146c,62500,500,3,21,2,COMBO,CABLE
622edf23-bea2-4990-8453-8b45eae52bdf,300000,600,3,21,2,COMBO,CABLE
94e89f11-d33f-4ae3-9671-62d51264abfa,62500,500,3,21,2,COMBO,CABLE
b9609f9e-dbd4-4d5f-bbac-87ca256aab27,300000,600,3,21,2,COMBO,CABLE
a489be6a-3e6c-472b-a445-f31e7f8ff917,62500,500,3,21,2,COMBO,CABLE
a8c3d7cd-7558-40f0-a3d2-8ee3fbe68151,300000,600,3,21,2,COMBO,CABLE
bf68dd0d-ccfe-45ee-9ce8-6a26ee31413d,62500,500,3,1,2,CHADEMO,CABLE
2ce6574c-8da8-4b75-bf59-708facf171ac,62500,500,3,1,2,CHADEMO,CABLE
95319959-189f-4704-b342-5b64c1fc705e,300000,600,3,21,2,COMBO,CABLE
019c3456-a39f-440a-b21c-6c34128ad632,300000,600,3,21,2,COMBO,CABLE
8180c4a0-ecf4-4223-9f56-0d161a34a201,300000,600,3,21,2,COMBO,CABLE
84ae1297-e8dc-492a-ad24-f70acf24a5cf,62500,500,3,21,2,COMBO,CABLE
3bc8476b-1d3e-46d9-86bb-5a697b0e02c6,62500,500,3,1,2,CHADEMO,CABLE
42440902-a4d4-42ec-aedb-26856a34774d,300000,600,3,21,2,COMBO,CABLE
a1d5910c-27ba-4531-8628-8d660fef3a57,62500,500,3,21,2,COMBO,CABLE
66a2a88f-a30b-4453-9e39-552e40f2e005,300000,600,3,21,2,COMBO,CABLE
34ff9bef-c9f6-40ce-8672-08dd184238d9,62500,500,3,21,2,COMBO,CABLE
564cbd7f-b808-4719-800f-541d1d9f69fd,300000,600,3,21,2,COMBO,CABLE
37f698fd-d858-4b48-9a4a-764120ca7d40,300000,600,3,21,2,COMBO,CABLE
a489be6a-3e6c-472b-a445-f31e7f8ff917,62500,500,3,1,2,CHADEMO,CABLE
b2312232-1fff-44d4-ac1e-e86d15e95120,62500,500,3,1,2,CHADEMO,CABLE
d97609d7-2ed6-4ce0-82de-dbe650a53417,300000,600,3,21,2,COMBO,CABLE
26774f3c-6600-428e-ba1f-cd4c79f9222b,62500,500,3,21,2,COMBO,CABLE
324a3dfc-b7ef-4995-bdbc-ee6c394561bf,300000,600,3,21,2,COMBO,CABLE
08e14079-ee7d-42f9-97e9-79ffa1a90e80,62500,500,3,1,2,CHADEMO,CABLE
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,62500,500,3,1,2,CHADEMO,CABLE
6108ae64-a54f-47df-8055-f17f259cf7e7,300000,600,3,21,2,COMBO,CABLE
e214a5ab-0248-4bc9-a3de-01a6d4b0fa8c,300000,600,3,21,2,COMBO,CABLE
205c0673-52b0-47da-b822-da2ebc855704,62500,500,3,1,2,CHADEMO,CABLE
e303e699-58fe-4975-8388-b8535b8bdb81,62500,500,3,1,2,CHADEMO,CABLE
cd511790-c2d0-44e5-b605-6daeba76ad86,300000,600,3,21,2,COMBO,CABLE
e25e6da6-7ccc-4464-8375-60f029601f80,62500,500,3,1,2,CHADEMO,CABLE
b2312232-1fff-44d4-ac1e-e86d15e95120,62500,500,3,21,2,COMBO,CABLE
